City,Country,Latitude,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph)
Tazovsky,RU,67.47,78.7,-3.86,87,0,7.99
Fairbanks,US,64.84,-147.72,19.99,92,90,1.63
Noumea,NC,-22.28,166.46,87.8,38,0,6.93
Kutum,SD,14.2,24.67,71.22,26,0,11.83
São Filipe,CV,14.9,-24.5,79.02,81,2,0.83
Sitka,US,57.05,-135.33,42.8,87,40,6.93
Bom Jesus,BR,-9.07,-44.36,77.76,72,99,2.08
Oranjestad,AW,12.52,-70.03,84.2,74,20,11.41
Enshi,CN,30.3,109.48,66.65,64,2,1.23
Harper,LR,4.38,-7.72,77.72,88,99,5.28
Mazamet,FR,43.49,2.37,53.6,100,79,2.24
San Isidro,PE,-12.12,-77.05,62.6,82,75,13.87
Port Alfred,ZA,-33.59,26.89,66.56,85,100,2.89
Punta Arenas,CL,-53.15,-70.92,46.4,65,40,34.45
Hong Kong,HK,22.29,114.16,79.0,68,95,3.0
Mananjary,MG,-21.22,48.33,70.81,87,33,4.18
Balakovo,RU,52.03,47.8,31.46,91,0,4.72
Oeiras do Pará,BR,-2.0,-49.85,78.87,78,48,4.81
North Battleford,CA,52.78,-108.28,21.2,92,1,6.93
Marabá,BR,-5.37,-49.12,77.05,81,89,2.95
Yamada,JP,39.47,141.95,59.2,46,1,10.63
Isetskoye,RU,56.49,65.32,30.33,94,62,13.02
Aklavik,CA,68.22,-135.01,21.2,62,75,8.05
Leningradskiy,RU,69.38,178.42,17.6,90,72,13.18
Zhangjiakou,CN,40.81,114.88,50.58,36,87,2.13
Yumen,CN,40.28,97.2,46.6,50,22,14.61
Cabo San Lucas,MX,22.89,-109.91,75.2,64,20,4.7
Uwajima,JP,33.22,132.56,69.8,52,20,6.93
Shīeli,KZ,44.17,66.75,31.87,89,41,4.47
Pisco,PE,-13.7,-76.22,63.0,87,0,16.11
Aykhal,RU,66.0,111.5,-4.14,88,22,2.26
Lüderitz,NA,-26.65,15.16,61.66,56,100,15.93
Laguna,US,38.42,-121.42,62.01,50,1,2.26
Port Hedland,AU,-20.32,118.57,84.2,58,0,10.29
Tweed,CA,44.48,-77.32,39.99,68,95,4.14
Sola,VU,-13.88,167.55,80.55,79,16,19.08
Río Gallegos,AR,-51.62,-69.22,48.2,60,20,26.4
Chui,UY,-33.7,-53.46,55.09,78,47,11.41
Sibolga,ID,1.74,98.78,86.22,58,100,3.53
Myitkyina,MM,25.38,97.4,84.47,57,0,1.14
San Patricio,US,28.02,-97.52,53.6,76,1,3.65
Bay Roberts,CA,47.6,-53.26,33.01,93,99,5.01
Lavrentiya,RU,65.58,-171.0,26.42,88,100,4.5
Inhambane,MZ,-23.86,35.38,72.46,85,48,10.4
Caravelas,BR,-17.71,-39.25,77.7,85,100,12.15
Carnarvon,AU,-24.87,113.63,77.0,69,33,10.29
Vardø,NO,70.37,31.11,40.95,88,100,14.43
Sīkar,IN,27.62,75.15,75.27,19,0,6.31
Kieta,PG,-6.22,155.63,84.74,70,100,2.08
Diamantino,BR,-14.41,-56.45,74.21,93,100,2.33
Saint-Philippe,RE,-21.36,55.77,75.2,73,75,13.87
Kaitangata,NZ,-46.28,169.85,52.0,85,90,14.0
Luwuk,ID,-0.95,122.79,87.91,54,70,2.73
Esim,GH,4.87,-2.24,76.96,88,13,5.01
Belaya Gora,RU,68.53,146.42,7.05,94,100,5.35
Bathsheba,BB,13.22,-59.52,77.0,88,75,23.04
Castro,BR,-24.79,-50.01,61.68,47,0,2.77
Manzhouli,CN,49.6,117.43,37.6,67,0,11.07
Port Hardy,CA,50.7,-127.42,50.0,100,90,6.93
Adrar,MR,20.5,-10.07,75.83,19,0,10.45
Juquitiba,BR,-23.93,-47.07,73.99,64,0,2.24
Clyde River,CA,70.47,-68.59,17.6,85,75,19.46
Homer,US,59.64,-151.55,39.0,74,40,5.82
Okhotsk,RU,59.38,143.3,29.28,93,100,7.54
Aswān,EG,24.09,32.91,76.28,24,0,8.72
Kavieng,PG,-2.57,150.8,84.36,70,48,6.96
Gushikawa,JP,26.35,127.87,82.4,58,75,8.05
Mount Gambier,AU,-37.83,140.77,57.2,82,90,9.17
Aksu,CN,41.12,80.26,51.93,39,100,3.29
Iwanai,JP,42.97,140.51,47.25,72,95,14.45
Wanning,CN,18.8,110.4,80.58,86,72,15.19
Ambilobe,MG,-13.2,49.05,73.62,74,0,4.45
Phalombe,MW,-15.81,35.65,67.3,78,43,3.09
Namatanai,PG,-3.67,152.43,86.54,64,68,1.66
Mazyr,BY,52.05,29.25,43.3,87,68,5.57
Talnakh,RU,69.49,88.4,-0.53,74,0,5.97
New Norfolk,AU,-42.78,147.06,64.0,51,20,12.75
Thinadhoo,MV,0.53,72.93,83.5,74,12,9.95
Dwārka,IN,22.24,68.97,80.11,52,0,4.79
Grand-Santi,GF,4.25,-54.38,77.4,76,43,3.11
Sawākin,SD,19.11,37.33,82.44,76,43,8.72
Urbana,US,40.11,-88.21,46.99,79,100,4.74
Huarmey,PE,-10.07,-78.15,63.41,82,56,8.28
San Quintín,MX,30.48,-115.95,63.16,55,0,7.16
Mokhsogollokh,RU,61.47,128.92,9.55,91,92,4.9
Tiksi,RU,71.69,128.87,1.08,90,97,14.63
Sioux Lookout,CA,50.1,-91.92,23.0,67,90,10.29
Bunia,CD,1.57,30.25,63.41,94,86,2.82
Turtas,RU,58.94,69.13,30.58,98,100,9.46
Jati,PK,24.35,68.27,76.55,63,0,4.14
Oktyabr'skoye,RU,43.06,44.74,44.6,100,1,6.71
Channel-Port aux Basques,CA,47.57,-59.14,36.54,78,100,8.5
Praia da Vitória,PT,38.73,-27.07,68.0,100,40,22.55
Tanout,NE,14.97,8.89,76.32,18,0,9.84
Emerald,AU,-23.53,148.17,86.0,14,0,11.41
Itarema,BR,-2.92,-39.92,77.85,83,21,13.0
Kruisfontein,ZA,-34.0,24.73,62.01,90,99,1.99
Shingū,JP,33.73,135.98,69.8,43,0,11.41
Saskylakh,RU,71.92,114.08,-0.51,89,64,7.49
Beni Mazar,EG,28.5,30.8,70.2,77,61,15.03
Darnah,LY,32.77,22.64,66.69,68,0,13.44
Upernavik,GL,72.79,-56.15,14.4,85,99,11.3
Huntsville,US,34.73,-86.59,73.4,94,75,9.17
Rawson,AR,-43.3,-65.1,47.5,55,0,5.14
Mastic Beach,US,40.77,-72.85,55.0,87,1,3.36
Broken Hill,AU,-31.95,141.43,75.2,31,22,11.41
Bethel,US,41.37,-73.41,48.99,97,100,1.01
Wittlich,DE,49.98,6.88,51.01,87,75,10.29
Coshocton,US,40.27,-81.86,50.0,92,100,1.9
Ponta do Sol,PT,32.67,-17.1,66.2,82,40,13.87
Portland,US,45.52,-122.68,54.0,76,1,1.34
Husavik,IS,66.04,-17.34,41.0,75,75,9.17
Srandakan,ID,-7.94,110.25,84.76,70,91,6.58
Goulburn,AU,-34.75,149.72,69.01,76,8,1.99
Kedrovyy,RU,56.17,91.82,30.2,68,40,20.13
Olinda,BR,-8.01,-34.86,80.6,69,40,8.05
Norman Wells,CA,65.28,-126.83,10.4,85,20,6.93
Ancud,CL,-41.87,-73.82,44.01,86,34,4.7
Saint-François,FR,46.42,3.91,53.6,87,100,5.82
Visnes,NO,59.36,5.22,51.01,81,100,11.41
Olafsvik,IS,64.89,-23.71,41.92,73,80,27.6
Lorengau,PG,-2.02,147.27,84.04,74,79,4.54
Tabora,TZ,-5.02,32.8,75.2,57,40,11.41
Cascais,PT,38.7,-9.42,62.01,74,0,5.97
Dingle,PH,11.0,122.67,85.48,77,18,8.84
São Félix do Xingu,BR,-6.64,-51.99,74.82,84,95,1.12
Nikolskoye,RU,59.7,30.79,46.99,93,20,4.47
Hasaki,JP,35.73,140.83,73.0,43,20,5.82
Vila Franca do Campo,PT,37.72,-25.43,66.2,88,75,13.87
Magadan,RU,59.57,150.8,31.8,85,99,4.9
Boa Vista,BR,2.82,-60.67,82.4,74,40,2.24
Jumla,NP,29.27,82.18,59.04,30,0,1.72
Bowen,AU,-20.02,148.23,91.4,41,75,6.93
Conway,US,35.09,-92.44,53.6,100,90,5.08
Dunda,TZ,-8.12,34.25,62.83,74,95,1.34
Alice Springs,AU,-23.7,133.88,95.0,6,0,12.75
Chumikan,RU,54.72,135.31,36.68,83,86,8.32
Oodweyne,SO,9.41,45.06,64.45,40,0,3.51
Olavarría,AR,-36.89,-60.32,51.01,72,1,5.01
Muhafazat Lahij,YE,13.17,44.58,69.75,58,0,1.88
Coquimbo,CL,-29.95,-71.34,53.6,81,0,3.36
Jalu,LY,29.03,21.55,61.83,77,0,6.58
Nuuk,GL,64.18,-51.72,21.0,85,93,4.7
Coolum Beach,AU,-26.53,153.1,80.01,71,0,4.0
Oberá,AR,-27.49,-55.12,64.58,69,31,5.37
Puerto Maldonado,PE,-12.6,-69.18,76.28,90,80,0.47
College,US,64.86,-147.8,19.99,85,90,1.61
Otavi,NA,-19.65,17.33,66.88,59,59,5.97
Vanavara,RU,60.34,102.28,24.03,97,100,5.64
Linjiang,CN,41.81,126.91,48.07,43,0,3.62
Daitari,IN,21.1,85.75,76.21,46,2,5.3
Chipinge,ZW,-20.19,32.62,56.59,51,0,4.45
Krasnosel'kup,RU,65.7,82.47,-0.42,93,30,9.24
San Antonio,US,29.42,-98.49,53.6,50,1,5.82
Rundu,NA,-17.93,19.77,66.87,65,30,6.13
Guerrero Negro,MX,27.98,-114.06,67.1,51,0,14.03
Cortez,US,37.35,-108.59,44.6,48,1,3.36
Grindavik,IS,63.84,-22.43,44.6,56,0,27.51
Omegna,IT,45.88,8.41,46.99,82,100,3.78
Bud,US,39.45,-86.18,50.0,93,90,4.45
Paraná,AR,-31.73,-60.52,51.01,87,0,7.11
Kyzyl-Suu,KG,42.34,78.01,33.53,88,100,4.52
Goderich,CA,43.75,-81.72,50.0,53,100,6.93
Narsaq,GL,60.92,-46.05,30.2,80,100,1.12
Touros,BR,-5.2,-35.46,77.0,83,75,2.24
Turukhansk,RU,65.82,87.98,11.8,92,100,14.9
Solnechnyy,RU,50.72,136.63,35.44,85,99,9.31
Dalmeny,CA,52.33,-106.77,30.0,100,20,8.05
Oistins,BB,13.07,-59.53,77.0,88,75,23.04
Mount Isa,AU,-20.73,139.5,89.6,7,0,6.93
Zhezkazgan,KZ,47.8,67.71,29.26,89,89,5.99
Lagos,NG,6.58,3.75,77.0,100,20,2.44
Balkhash,KZ,46.84,74.98,32.0,89,75,8.95
Bara,NG,10.37,10.73,71.98,35,46,3.15
Fomboni,KM,-12.28,43.74,79.54,75,0,9.6
Ostrožac,BA,44.91,15.94,48.99,96,100,1.01
Port Elizabeth,ZA,-33.92,25.57,62.6,88,20,6.93
Djougou,BJ,9.71,1.67,71.6,78,77,4.7
Paracuru,BR,-3.41,-39.03,80.01,73,53,21.99
Griffith,US,41.53,-87.42,41.0,86,1,5.82
Mago,RU,53.25,140.18,40.55,70,35,2.77
Mestia,GE,43.05,42.73,49.55,48,81,0.83
Soyo,AO,-6.13,12.37,76.44,88,100,5.14
Mujiayingzi,CN,42.12,118.78,50.43,38,100,1.48
Ust'ye,RU,59.63,39.74,43.66,94,93,7.7
Maceió,BR,-9.67,-35.74,71.6,94,0,4.7
Narganá,PA,9.44,-78.59,80.87,80,100,4.12
Salinópolis,BR,-0.61,-47.36,79.99,82,86,11.1
União,BR,-4.59,-42.86,82.4,69,0,5.82
Mogocha,RU,53.73,119.77,27.99,81,29,2.01
Shubarkuduk,KZ,49.14,56.49,34.16,80,88,4.23
Mehamn,NO,71.04,27.85,36.37,87,97,6.98
Bukavu,CD,-2.51,28.86,61.25,81,78,0.43
Le Port,RE,-20.94,55.29,73.4,69,20,12.75
Mahon,ES,39.89,4.27,59.0,87,0,4.7
Guangyuan,CN,32.44,105.82,59.0,99,82,1.01
Luena,AO,-11.78,19.92,62.06,93,100,5.01
Saldanha,ZA,-33.01,17.94,59.0,87,100,9.17
Llanelli,GB,51.68,-4.16,53.6,93,100,16.11
Ola,RU,59.58,151.28,31.5,86,100,4.36
Fort Nelson,CA,58.81,-122.7,28.4,92,90,5.82
Lakes Entrance,AU,-37.88,147.98,71.01,59,5,3.0
Antofagasta,CL,-23.65,-70.4,59.0,77,90,9.17
Ibrā’,OM,22.69,58.53,68.92,38,0,3.76
Panguna,PG,-6.32,155.48,79.03,80,97,1.72
Karwar,IN,14.8,74.13,78.82,63,0,5.68
Correntina,BR,-13.34,-44.64,72.93,79,100,2.37
Monte Alegre de Minas,BR,-18.87,-48.88,73.4,56,0,5.82
Kumylzhenskaya,RU,49.88,42.59,33.01,75,0,1.01
Alta Floresta,BR,-9.88,-56.09,74.82,84,87,1.88
Matam,SN,15.62,-13.33,83.88,15,44,6.98
Nantucket,US,41.28,-70.1,52.0,84,20,8.05
Udachny,RU,66.42,112.4,-6.36,89,0,1.88
Nome,US,64.5,-165.41,28.4,74,1,0.92
Cotonou,BJ,6.37,2.42,80.6,88,40,8.05
Longido,TZ,-2.73,36.68,64.6,75,93,11.45
Tucumcari,US,35.17,-103.72,39.2,80,90,13.87
Navahrudak,BY,53.6,25.83,48.06,93,100,7.92
Puerto Escondido,MX,15.85,-97.07,80.29,80,64,2.42
Flinders,AU,-34.58,150.86,68.0,80,89,4.0
Sambava,MG,-14.27,50.17,74.37,83,17,9.91
Madison Heights,US,42.49,-83.11,46.4,61,1,3.36
Giohar,SO,2.78,45.5,75.34,91,2,4.41
Kirkwall,GB,58.98,-2.96,44.6,87,88,12.75
Dubbo,AU,-32.25,148.62,75.2,38,4,4.7
Ryōtsu-minato,JP,38.08,138.43,62.6,48,40,12.75
Kayes,ML,14.0,-11.0,76.44,19,91,3.74
Cairns,AU,-16.92,145.77,89.01,58,1,7.18
Itoman,JP,26.12,127.67,82.4,54,40,9.17
Skibbereen,IE,51.55,-9.27,51.8,93,75,21.92
Micco,US,27.88,-80.5,80.01,94,92,12.91
Stawell,AU,-37.05,142.77,56.01,78,99,3.27
Ostrovnoy,RU,68.05,39.51,39.87,90,100,18.81
Paamiut,GL,61.99,-49.67,27.36,86,98,11.83
Vostok,RU,46.49,135.88,29.57,99,100,11.81
Vanimo,PG,-2.67,141.3,87.35,65,95,7.83
San Juan de la Maguana,DO,18.81,-71.23,57.0,1,0,1.74
Necochea,AR,-38.55,-58.74,51.01,79,8,13.0
Zhigansk,RU,66.77,123.37,-6.09,90,15,4.12
Amapá,BR,1.0,-52.0,73.0,96,40,2.46
Fare,PF,-16.7,-151.02,80.91,79,9,13.33
Keuruu,FI,62.27,24.7,46.4,93,75,9.17
Kahului,US,20.89,-156.47,84.2,66,20,19.46
Port Augusta,AU,-32.5,137.77,73.99,49,90,17.22
Puerto Carreño,CO,6.19,-67.49,78.26,84,40,5.01
Bandarbeyla,SO,9.49,50.81,77.65,82,0,2.66
Salalah,OM,17.02,54.09,78.8,74,20,4.7
Tuatapere,NZ,-46.13,167.68,64.0,66,20,4.0
Thaba-Tseka,LS,-29.52,28.61,54.14,59,0,4.0
Longyearbyen,SJ,78.22,15.64,24.8,68,75,14.99
Pasni,PK,25.26,63.47,74.12,36,0,24.92
Severodvinsk,RU,64.56,39.83,42.8,93,40,4.47
Rome,US,43.21,-75.46,41.0,86,75,4.81
Conceição do Araguaia,BR,-8.26,-49.26,77.47,82,100,5.21
Sungai Penuh,ID,-2.08,101.38,80.46,57,87,3.04
Kapit,MY,2.02,112.93,86.4,68,81,3.09
Tiarei,PF,-17.53,-149.33,75.2,94,75,11.41
Damaturu,NG,11.75,11.96,76.84,21,13,7.43
Verkhniy Mamon,RU,50.16,40.38,36.84,76,0,10.04
Westport,US,41.14,-73.36,53.6,87,1,3.36
Chokurdakh,RU,70.63,147.92,-3.3,91,40,7.54
Iqaluit,CA,63.75,-68.51,17.6,61,90,3.11
Goundam,ML,16.41,-3.67,81.64,15,85,4.85
Ocamonte,CO,6.34,-73.12,62.78,85,100,1.32
Davila,PH,18.47,120.58,84.2,79,75,4.7
Ushumun,RU,52.78,126.53,27.23,90,14,7.11
Sittwe,MM,20.15,92.9,82.2,76,100,5.61
Tingi,TZ,-11.3,35.03,63.28,74,75,7.85
Minervino Murge,IT,41.08,16.08,57.2,76,0,10.29
Alanya,TR,36.54,32.0,57.2,76,20,5.82
Sabzawār,IR,36.21,57.68,44.6,56,0,16.11
Alyangula,AU,-13.85,136.42,93.2,34,40,10.29
Lakota,CI,5.85,-5.69,70.45,99,70,1.99
Balagansk,RU,54.01,103.05,36.36,81,97,6.55
Pālakkodu,IN,12.3,78.08,75.25,63,67,3.49
Tipuani,BO,-15.56,-68.02,74.97,75,14,1.19
Rocha,UY,-34.48,-54.33,56.73,69,66,14.72
Mawlaik,MM,23.63,94.42,83.68,63,46,2.37
Kloulklubed,PW,7.04,134.26,86.0,70,75,10.29
Cidreira,BR,-30.18,-50.21,65.41,89,24,5.1
Kānker,IN,20.27,81.49,75.0,62,65,4.29
Erenhot,CN,43.65,111.98,47.08,40,65,9.89
Kiryat Gat,IL,31.61,34.76,72.0,100,46,4.54
Saint Anthony,US,45.02,-93.22,41.0,95,1,9.17
Beisfjord,NO,68.38,17.6,24.8,100,0,5.82
Penzance,GB,50.12,-5.54,53.6,93,100,19.46
Garoowe,SO,8.41,48.48,73.56,73,43,5.48
Saint-Cyr-sur-Loire,FR,47.4,0.67,57.0,93,75,10.29
Tete,MZ,-16.16,33.59,77.0,61,20,9.17
San Matías,BO,-16.37,-58.4,76.89,87,96,10.36
Cayenne,GF,4.93,-52.33,77.0,100,75,2.24
Coyhaique,CL,-45.58,-72.07,37.4,85,0,2.24
Ilulissat,GL,69.22,-51.1,19.4,48,100,8.05
Oranjemund,NA,-28.55,16.43,59.05,74,100,2.13
Stranda,NO,62.31,6.94,44.01,88,99,8.61
Christchurch,NZ,-43.53,172.63,55.99,82,100,17.22
Philadelphia,US,39.95,-75.16,59.0,77,90,3.18
Pingliang,CN,35.54,106.69,51.03,59,0,4.5
Terrassa,ES,41.57,2.02,59.0,93,0,2.24
Kabanjahe,ID,3.1,98.49,76.48,56,85,2.59
Española,US,35.99,-106.08,39.2,69,1,4.5
Severnoye,RU,56.35,78.36,18.32,92,0,8.41
Dongsheng,CN,39.82,109.98,44.26,53,0,6.02
Sistranda,NO,63.73,8.83,42.8,87,0,9.17
Mastic,US,40.8,-72.84,55.0,87,1,3.36
Kodinsk,RU,58.69,99.18,32.47,92,55,8.93
Ust-Maya,RU,60.42,134.53,12.06,93,100,3.76
Longos,PH,16.11,120.4,84.25,71,100,2.19
Verkhnevilyuysk,RU,63.45,120.32,3.94,87,14,1.61
Baiyin,CN,36.56,104.21,55.0,70,0,6.71
Bahía Honda,CU,22.9,-83.16,77.45,88,76,4.14
Koslan,RU,63.46,48.9,39.99,91,90,10.04
La Santisima Trinidad,BO,-14.83,-64.9,80.91,68,31,3.76
San Cristobal,VE,7.77,-72.22,67.33,86,96,1.01
Igunga,TZ,-4.28,33.88,68.41,65,72,7.07
Sechura,PE,-5.56,-80.82,66.11,78,49,13.42
Saint-Pierre,RE,-21.34,55.48,75.2,73,75,13.87
Paraopeba,BR,-19.28,-44.4,73.4,73,0,2.24
Yerbogachën,RU,61.28,108.01,17.33,89,100,13.33
Leh,IN,34.17,77.58,32.76,70,0,3.83
Jingdezhen,CN,29.29,117.21,72.09,68,67,0.74
Pyn U Lwin,MM,22.03,96.47,82.4,94,75,3.36
Nadym,RU,65.53,72.52,8.24,88,100,16.98
Hofn,IS,64.25,-15.21,44.42,82,98,24.7
Tartous,SY,34.89,35.89,69.01,88,0,4.7
Ballina,AU,-28.87,153.57,81.0,69,40,10.29
Belen,TR,36.49,36.22,60.8,72,0,1.54
Kununurra,AU,-15.77,128.73,96.8,39,2,5.82
Wajid,SO,3.81,43.25,74.55,81,98,15.19
Vestmannaeyjar,IS,63.44,-20.27,45.73,82,63,43.73
Kaeo,NZ,-35.1,173.78,66.0,86,100,5.99
Huilong,CN,31.81,121.66,68.0,61,96,9.84
Taltal,CL,-25.4,-70.48,56.25,74,31,1.28
Vila,PT,42.03,-8.16,43.0,94,0,1.01
Lázaro Cárdenas,MX,17.96,-102.2,79.14,85,5,3.58
